Date,Price
7/4/18 0:00,6593.289167
7/5/18 0:00,6603.376667
7/6/18 0:00,6569.496154
7/7/18 0:00,6594.281667
7/8/18 0:00,6753.559167
7/9/18 0:00,6723.8725
7/10/18 0:00,6510.791667
7/11/18 0:00,6377.363333
7/12/18 0:00,6233.595
7/13/18 0:00,6244.3575
7/14/18 0:00,6241
7/15/18 0:00,6316.881667
7/16/18 0:00,6514.390833
7/17/18 0:00,6869.910833
7/18/18 0:00,7398.661667
7/19/18 0:00,7396.401667
7/20/18 0:00,7428.045
7/21/18 0:00,7352.495385
7/22/18 0:00,7451.289167
7/23/18 0:00,7689.884167
7/24/18 0:00,8112.93
7/25/18 0:00,8251.165
7/26/18 0:00,8187.324167
7/27/18 0:00,8025.2575
7/28/18 0:00,8182.251667
7/29/18 0:00,8206.341667
7/30/18 0:00,8143.148333
7/31/18 0:00,7916.800833
8/1/18 0:00,7570.869167
8/2/18 0:00,7593.149167
8/3/18 0:00,7394.499167
8/4/18 0:00,7247.769167
8/5/18 0:00,6998.718333
8/6/18 0:00,6988.079167
8/7/18 0:00,6993.513333
8/8/18 0:00,6450.366923
8/9/18 0:00,6396.7725
8/10/18 0:00,6396.494667
8/11/18 0:00,6195.653333
8/12/18 0:00,6311.131667
8/13/18 0:00,6347.07
8/14/18 0:00,6050.9425
8/15/18 0:00,6362.676923
8/16/18 0:00,6342.629231
8/17/18 0:00,6476.9
8/18/18 0:00,6436.720833
8/19/18 0:00,6404.063333
8/20/18 0:00,6434.559167
8/21/18 0:00,6401.246154
8/22/18 0:00,6575.229167
8/23/18 0:00,6434.881667
8/24/18 0:00,6543.645714
8/25/18 0:00,6719.429231
8/26/18 0:00,6673.274167
8/27/18 0:00,6719.266154
8/28/18 0:00,7000.04
8/29/18 0:00,7054.276429
8/30/18 0:00,6932.6625
8/31/18 0:00,6981.946154
9/1/18 0:00,7100.946667
9/2/18 0:00,7247.935385
9/3/18 0:00,7260.949231
9/4/18 0:00,7326.8525
9/5/18 0:00,7113.069231
9/6/18 0:00,6433.271667
9/7/18 0:00,6444.804167
9/8/18 0:00,6366.1075
9/9/18 0:00,6286.425833
9/10/18 0:00,6297.877692
9/11/18 0:00,6296.320833
9/12/18 0:00,6273.1375
9/13/18 0:00,6450.179231
9/14/18 0:00,6499.0625
9/15/18 0:00,6518.655
9/16/18 0:00,6480.644167
9/17/18 0:00,6400.600833
9/18/18 0:00,6296.631667
9/19/18 0:00,6335.826667
9/20/18 0:00,6418.562667
9/21/18 0:00,6669.990833
9/22/18 0:00,6709.3125
9/23/18 0:00,6710.445
9/24/18 0:00,6639.304167
9/25/18 0:00,6412.459167
9/26/18 0:00,6468.631667
9/27/18 0:00,6535.476667
9/28/18 0:00,6677.3425
9/29/18 0:00,6550.474167
9/30/18 0:00,6593.135
10/1/18 0:00,6590.968333
10/2/18 0:00,6562.641667
10/3/18 0:00,6470.4025
